record_id,disease_class,lead,path_raw,n_beats,n_critical,n_xmethod,n_needs,frac_critical,frac_xmethod,frac_needs,priority_tier,example_beat,example_qc_flags,example_xmethod_issues
mc_mi_LCX_1p0_ant_test_run_S62_run_000037,mi,V6,WP2_largeDataset_Noise/mi/LCX_1.0_ant/test/run_S62/run_000037_raw.csv,12,12,11,12,1.00,0.92,1.00,1_critical,1,QT=716ms,
mc_mi_LCX_0p3_post_train_run_S72_run_000011,mi,I,WP2_largeDataset_Noise/mi/LCX_0.3_post/train/run_S72/run_000011_raw.csv,13,13,0,13,1.00,0.00,1.00,1_critical,1,PR=76ms,
mc_fam_validation_run_S63_000029,fam,aVL,WP2_largeDataset_Noise/fam/validation/run_S63/000029_raw.csv,12,12,1,12,1.00,0.08,1.00,1_critical,1,PR=76ms,
mc_mi_LAD_0p3_train_run_S65_run_000071,mi,I,WP2_largeDataset_Noise/mi/LAD_0.3/train/run_S65/run_000071_raw.csv,4,4,0,4,1.00,0.00,1.00,1_critical,1,PR=54ms,
mc_mi_LCX_0p3_post_train_run_S71_run_000019,mi,III,WP2_largeDataset_Noise/mi/LCX_0.3_post/train/run_S71/run_000019_raw.csv,12,12,11,12,1.00,0.92,1.00,1_critical,1,PR=76ms,
mc_mi_LCX_0p3_post_validation_run_S67_run_000015,mi,III,WP2_largeDataset_Noise/mi/LCX_0.3_post/validation/run_S67/run_000015_raw.csv,13,13,12,13,1.00,0.92,1.00,1_critical,1,PR=70ms,
mc_mi_LCX_0p3_ant_train_run_S74_run_000011,mi,III,WP2_largeDataset_Noise/mi/LCX_0.3_ant/train/run_S74/run_000011_raw.csv,13,13,0,13,1.00,0.00,1.00,1_critical,1,PR=68ms,
mc_mi_LCX_0p3_post_train_run_S65_run_000014,mi,V1,WP2_largeDataset_Noise/mi/LCX_0.3_post/train/run_S65/run_000014_raw.csv,11,11,0,11,1.00,0.00,1.00,1_critical,1,QRSdur=210ms;PR=64ms,
mc_fam_train_run_S69_000058,fam,aVL,WP2_largeDataset_Noise/fam/train/run_S69/000058_raw.csv,26,26,0,26,1.00,0.00,1.00,1_critical,1,QT=230ms,
mc_mi_LCX_0p3_ant_test_run_S64_run_000011,mi,aVF,WP2_largeDataset_Noise/mi/LCX_0.3_ant/test/run_S64/run_000011_raw.csv,12,12,11,12,1.00,0.92,1.00,1_critical,1,PR=78ms,
mc_mi_RCA_0p3_train_run_S74_run_000019,mi,V3,WP2_largeDataset_Noise/mi/RCA_0.3/train/run_S74/run_000019_raw.csv,13,13,12,13,1.00,0.92,1.00,1_critical,1,PR=44ms,
mc_mi_LCX_0p3_ant_validation_run_S67_run_000043,mi,aVL,WP2_largeDataset_Noise/mi/LCX_0.3_ant/validation/run_S67/run_000043_raw.csv,13,13,12,13,1.00,0.92,1.00,1_critical,1,PR=64ms,
mc_mi_LAD_1p0_train_run_S73_run_000065,mi,V2,WP2_largeDataset_Noise/mi/LAD_1.0/train/run_S73/run_000065_raw.csv,10,10,9,10,1.00,0.90,1.00,1_critical,1,PR=70ms,
